Q9BPZ3 P08574
O75116 Q8TD31
P40937 Q5W5X9
P25788 Q9BYN8
P54257 Q13596
Q6PKG0 Q9UJX3
Q14258 O43255
Q9NX47 Q96G01
Q6P2E9 P43405
P49915 Q6IQ23
P50995 Q5T8P6
Q14847 Q9NSV4
Q8N3L3 Q9NRG9
Q92625 P02647
O14965 Q9BYV6
Q9BZB8 Q9ULD2
Q9H792 P55884
Q9Y3D9 Q13480
Q69YQ0 P61964
Q6P2I7 Q15147
Q92911 Q5TCZ1
Q96G01 P06753
Q99623 P22061
O95639 Q15363
O75901 Q9ULL1
Q15058 Q9P2B4
P30260 P02649
Q93034 Q13286
Q13627 Q68CZ2
P14373 Q9UBS8
P14373 Q13137
Q02224 Q12873
P36543 Q38SD2
Q13084 Q7L311
Q96EV8 Q13618
Q96RF0 Q9H0A0
Q13057 Q9NQW6
Q8TF72 Q7Z2W9
Q8NB66 Q9UBW8
Q8IZ73 Q4ADV7
Q9BRZ2 Q9UJV3
O14641 Q96N67
Q7Z419 P41212
Q9P2L0 Q96L21
Q5T4F4 Q8WXD2
O15169 P50748
Q86UP2 Q504Q3
Q96RY7 O43353
Q96H55 Q14966
Q9H4M7 P40926
Q9UPT8 Q92973
O15155 P57078
Q9BXF6 O60716
Q9UBU8 Q8TAF3
Q8N3X1 Q9P2K8
Q8N4C6 Q99816
P13569 Q9NRD5
Q92597 Q9UK45
Q6ZNE5 Q6P1N0
Q86V86 Q9BXW9
Q5S007 Q8TB45
Q5VT06 O14974
Q8WWI1 P55196
P52594 Q86V81
P35568 Q86VQ0
P13196 P98170
P53350 Q6P2Q9
O43752 P78317
Q9UQC2 Q15025
Q9Y4C8 Q7Z7C8
Q99959 Q9BXY8
Q6AI12 P06576
Q92887 O76081
P14373 Q9UPT5
P14866 Q8IUD2
Q9UBF6 P04792
Q69YN4 P49914
Q15645 Q9NRD5
P57078 Q00610
O94992 Q6IQ26
Q9Y4K3 P42694
Q15058 Q8TDY2
Q9Y4J8 Q66LE6
O15226 O43175
Q99816 Q2NKX8
Q14498 Q7Z2K8
Q9UH99 P61964
Q5VSY0 Q8N0Z3
O00212 O43663
P02647 O94887
Q12873 Q9NVK5
P42345 P41252
Q16666 P0CB47
Q86UY6 O43663
Q9UN86 Q8N8L6
Q9BZV1 O43164
Q96MT8 P36957
P35222 Q05397
Q76FK4 Q8IV63
Q03113 Q08AD1
Q04637 Q8N6H7
Q9BZB8 Q8IYX3
O43776 Q8TDM6
Q5TCQ9 O43752
Q14511 P68400
Q08945 Q8TB24
Q02218 P55735
Q15149 Q8WWF5
P07332 Q9BT25
Q969H0 P51149
Q9BY77 Q92769
Q02410 Q7L591
Q3SY00 Q13618
P23508 Q96I59
Q9Y6K9 Q8NEY1
Q9Y6J0 Q02156
P41212 Q92667
Q5XPI4 O75400
P51572 P14678
O75934 Q9P258
Q9HCH0 Q9GZR2
Q5PSV4 Q5S007
Q13033 Q9BRS2
P62826 Q8WWM7
Q86VM9 Q8IUH3
Q5T9A4 P42694
Q9H4M7 Q8WTS6
Q9H6S0 Q8NE71
Q2TAC2 Q9UI08
O94992 Q53EZ4
Q92541 Q8TEW0
Q71SY5 Q8NE71
O76071 Q9UHD2
Q9ULJ8 Q8NEV8
Q9UGI0 Q5VT06
Q9BYM8 O43426
Q9P265 Q86VV4
Q14142 P55196
Q9H4M7 Q9GZS1
P51970 O00311
P78527 Q8NEY1
P35222 P50570
Q9HBD1 O14757
P35611 P43403
P07948 O94986
Q9Y6K9 P51159
P50402 P43243
O43463 Q9Y5S9
Q13625 Q9HCE7
P55072 O76094
O60716 Q96KB5
O75530 Q13286
Q7Z419 Q15118
Q8WU20 Q12797
P36915 Q12849
P55058 Q15907
P49736 Q9Y4B4
O14949 P27708
Q9C029 Q92597
P78406 P62318
Q8IXZ2 P49761
Q8IZW8 Q12834
P54257 Q13352
Q9NRD5 O75570
Q4G0J3 Q9UM54
Q14974 Q13033
Q15427 Q9UKG1
Q96DI7 Q9GZY8
P28066 Q8WV44
O94972 P62753
O95758 P50548
Q05655 Q96RK0
O14733 Q6PI77
Q13200 Q9BZF1
Q969H0 Q7Z419
P09012 Q8IWW6
Q9NVK5 Q16659
P61289 O14965
Q9ULU8 P46199
P68400 P51948
Q9H8V3 P62316
O95751 Q9H2D6
Q8NA72 P24928
Q8TAD8 Q9BRK4
Q8TB45 P33993
P20042 Q8N488
P04792 Q00610
Q8WYN0 Q9UG22
Q14674 Q02218
P51149 P51116
P42345 Q13191
Q69YN4 Q9NV06
Q9BVK6 P07910
P61421 O95751
Q96EP0 Q92888
Q13439 P62995
Q02241 Q14CX7
Q5T7V8 Q9BYN8
Q9BYN8 Q9ULJ1
Q96KQ4 P06733
P28066 O60763
Q99614 Q14498
Q15058 P49257
P02545 Q4G0J3
Q99704 P51955
O14964 Q96KS9
P37198 P29144
Q9HC77 Q9BYE7
Q9Y580 Q969H4
Q99700 O43482
Q9H8Y8 Q92900
Q15058 Q15363
Q5S007 Q9BXL7
P14222 Q96TA2
Q9Y230 Q8TDM6
Q96I25 Q07666
P51957 Q12955
Q96EP1 Q9HBD1
Q9UHD2 Q9BRL6
Q76N32 P35222
Q13825 O94964
Q9BYZ2 Q32P41
Q9UK73 O60674
Q14203 Q8NCB2
O14965 Q99615
Q9NWB7 Q00534
Q92769 Q92530
P14868 Q9HAU5
P78332 Q96FV2
Q9BWF2 O94972
Q70E73 P20936
O95219 Q9H0E2
Q9NPF4 Q9NW13
Q9HD33 P61978
Q12873 Q13131
P17480 P38606
Q13469 P34947
A6NHR9 Q14155
Q6IA86 Q5GAN6
Q15723 O96017
Q9H2J7 Q8N960
P19878 Q9UMS6
Q12770 P34897
Q9H4M7 Q9P2D1
Q5VIR6 Q9P0B6
Q5S007 Q8TAD8
P78362 Q92966
Q7Z699 Q53T94
P11182 Q9H4M7
Q14684 Q6P1K2
P46937 P09496
P62308 Q9Y616
Q6ZW31 P02774
P04629 P30085
O15085 Q86X02
P24928 Q96A49
Q9NVU0 Q8IUD2
O43264 Q15025
