P51946 P29083
Q8WTR4 Q8WUY1
Q8IYR2 Q9UHR6
O95994 O75643
Q9NS00 Q8TDV0
Q9ULD9 P51610
Q9GZV8 Q02930
P61073 O76082
O15235 Q8TAE8
Q15633 O75569
P49768 P35610
O75478 Q9BRG1
P15941 Q8N661
Q9Y618 Q16236
O15534 Q8WUW1
P49450 Q9Y4E5
P01106 Q9H2F5
Q8IY92 Q9BRP1
O15218 P55085
Q13304 O43156
P01308 Q9NZB2
P59991 Q8IY34
P17028 Q15649
O60885 O95251
Q9NR30 P40429
Q7Z7J7 Q13951
O60925 Q9Y3C7
Q9BYX4 Q96RE7
P41597 O94766
P62888 P62854
O43759 Q01814
Q7Z7K2 Q8TF39
P46098 Q5T9L3
O60885 P15374
P15941 Q969S0
P35244 Q8WXX5
Q99732 Q9NR30
O95600 Q92766
P58012 Q96KR1
Q12952 P15822
P62847 O75683
Q13520 Q96EC8
O75626 O75376
P55769 O00422
O75190 P62495
P01106 Q12830
Q9Y692 P63279
P01106 P27540
P17040 Q6P9G9
Q8NCK7 Q8NFD5
Q86Y78 Q8NEW0
Q6P1X6 O14530
Q96K58 Q8IY37
O95994 Q14697
P15374 P54886
P30044 Q9C002
P18847 P49715
Q6Y2X3 Q86XP3
Q6NUN9 P62266
Q9Y5Z0 Q9BY12
P41002 Q8N1F7
Q9NR30 P18621
P15173 P15923
Q8N5K1 O75379
P61073 Q96HR9
P46782 P40429
P18621 Q14562
Q8IX01 P62072
P61513 P25398
P40692 O60888
P01106 Q8IYR2
Q9NTG7 O95571
Q96C86 P13010
Q16650 P0C7T5
P08047 O75376
Q9HCE5 P62280
Q75WM6 Q96K58
Q9Y581 Q9UL63
Q9NWS0 P52435
O94761 O60884
Q9UBW7 Q8IZ40
O15446 Q8TDD1
Q04837 P09001
Q9H0U6 Q6PK04
P23025 Q6AHZ1
Q96LY2 Q9Y5K5
Q15554 Q9BWE0
P19447 O60911
Q13304 Q9NR50
Q9UGM1 Q8N5K1
Q9H9D4 Q9UJX6
Q9H9Y6 O15446
Q9UH92 Q9NP71
Q96LL9 Q8N5M9
Q96S52 O75937
O95786 Q8IWZ8
P09001 P46782
P51553 Q8IWZ8
P40429 Q6DKI1
O95793 P78347
Q8N5U1 P55011
P51674 P37840
A6NE02 Q9HAZ2
Q8TCC3 Q9NVP1
Q92830 Q5T6C5
Q9P0M6 Q9NXV6
O00409 Q9NP55
Q86SX6 Q9HC38
Q9NQ11 O60238
Q14197 Q8IVS2
Q9UIH9 Q01658
P01106 Q9C0B9
Q12948 Q86Y39
P26373 Q9NVP1
P61081 Q9H0E9
Q8N680 Q9BU76
P61244 P46063
P47775 Q8N6M3
Q13887 Q8IWI9
Q8N6T7 Q9BT73
P49768 P04844
O94772 Q9UL63
Q8N5K1 Q8N2M4
P25398 Q99460
P18621 P62854
O60756 P62805
Q14973 Q5TGU0
O94761 P23396
A9YTQ3 P27540
Q92905 Q12907
Q99081 Q99598
Q9NWS0 P55769
P49450 Q5EE01
Q86WI0 O75396
Q5JTC6 Q8TCN5
Q13423 P62072
O00585 P13501
Q96KC8 Q9HBM0
Q8N5W8 P30043
Q96RE7 O00214
Q66K89 P18621
Q16637 Q9HB58
P62805 Q5BKZ1
Q9Y664 Q9UGI8
P03886 Q16762
Q92793 P10242
P01106 Q7Z4Q2
O60671 Q13569
Q15828 O60911
Q96HR3 P52435
O95600 Q9HAF1
P62899 Q9Y2R4
Q9ULX6 P09234
Q7Z6M1 Q15942
Q8WWK9 Q5VW36
Q9NX58 Q9NUD5
Q9BUQ8 Q8TA86
Q9NPA1 Q8WZA1
Q8N8B7 Q8IZU0
P62805 O95183
O43676 Q16718
P62805 P62750
Q96MX3 O60832
Q03135 P51798
P41002 P54886
O95793 Q49A26
Q9UGQ3 O75556
P08173 Q9UI26
Q16795 Q8N4H5
P62888 O95625
P62805 Q9UHL9
Q96BR9 Q5T619
P49023 Q68DQ2
Q8IV31 Q9H2L4
O14880 O75879
Q9NR28 O15498
Q9C009 Q9Y618
P62750 P05388
Q14686 Q15788
Q9NPI1 O60884
Q969Q0 Q9GZR7
Q9Y4U1 Q13371
P49682 Q8N2G8
Q13428 P78312
Q14197 Q13423
O95786 Q9H0R8
P01106 P35269
P19544 Q92793
Q9UHG0 Q96QD8
P13667 Q08380
Q3KNW5 Q9BWH2
Q9Y3S2 Q96DT7
O95994 P13667
P08195 P10620
Q9H2F3 Q96KC8
Q96FW1 Q9BUQ8
P62750 Q9BYC8
O95600 Q9ULL5
P35408 P49768
Q9UIH9 Q7Z7H8
Q92793 Q9UBW7
P30556 Q9H0E9
P35414 Q8TD22
Q6ZN55 O95793
A6NCF5 P50990
Q13485 P15336
P02786 Q16775
Q6ZN55 Q7L2E3
O14960 Q96E35
Q9H1X3 Q13371
Q96K58 Q9Y221
P01106 O75190
Q9BY14 Q12907
P08047 P41182
Q9H0U6 P42766
P49711 P04844
Q9H8M2 Q9UQ35
P67870 Q86VK4
Q8NEB9 P62851
P25440 Q7Z3K3
Q12905 Q8IYB8
Q9BWE0 Q9NVP1
Q96ER3 Q9H3S5
Q07075 P06307
O75419 Q9BRT9
P35268 P40429
Q9Y3D5 Q96MW1
P15144 Q9HD45
O43889 Q8N682
Q6UXA7 O60220
O15446 Q12830
Q99853 Q86T24
Q9UDW1 P14854
Q04837 Q8IYB8
O15218 Q96CB8
Q02930 O15354
Q01664 Q12857
Q16650 Q15596
Q9NQX1 Q96JP5
Q9NRC8 Q9UPY3
O95994 O60884
P35244 P05198
P06307 Q96JL9
Q9NY28 Q9UPQ8
Q9BUZ4 Q9UJ78
P82932 Q8NC60
Q15648 Q9UBB9
Q14592 Q969R5
P01106 P48643
O00398 Q6NUQ1
Q3SYG4 Q8N3I7
Q14197 P23368
P17028 Q13129
Q9BX68 Q9NUL7
Q12830 P62805
P18621 O95625
Q13123 P26196
P01308 P53634
Q6NUN9 Q96FW1
O00487 P48643
P30040 A6H8Y1
Q9UGI8 O14545
B2RXF5 Q96RE7
P49281 P03886
Q9P2G3 Q9Y573
Q14562 Q9BU76
Q9UBY8 Q04941
Q9NS37 Q16621
P54253 Q03989
Q9Y3S2 Q12906
P49768 Q14165
P62805 Q9NX58
Q5F1R6 Q9NZB2
Q9H598 P55085
Q8WUD4 Q2TBE0
Q9BZ95 P01106
Q9BQE4 Q92890
O60885 P49711
O60885 P67870
P61081 P50991
Q9H9Y6 Q9H944
Q96IF1 Q15942
P20309 P34995
O95994 P23396
Q5JX71 Q5J8X5
Q9NWS0 Q7L2E3
Q15047 O14530
Q8TBB6 Q9GZR5
Q13520 Q9Y6X1
P62805 P13010
Q9UDV6 P40692
Q12857 Q9BVJ6
O94766 O75396
Q9UI09 P09669
P15172 O15014
P49447 Q9UKR5
Q9H0R8 Q8NFG4
P54253 Q96MN9
O14880 P04844
Q9Y3S2 Q9Y2X9
P37108 Q15042
Q9BX68 P09001
Q16795 O95169
P62633 O75683
Q92793 P10243
P16473 Q99519
Q9GZM5 P35610
Q9BQ90 Q15369
O94766 Q9H7F0
Q53GT1 Q9ULV3
Q9BXW4 Q8WVZ9
P08047 Q13485
Q9UFB7 Q9ULD5
O95793 P35610
Q7Z7H8 Q969Q0
Q13485 P25490
P49411 Q96C86
Q03135 Q9Y6Y0
P62750 P62266
O43583 Q7L5N1
Q13127 P05198
P49450 Q9NY93
Q13304 Q9NX76
P14854 O14925
O60885 Q3B726
P62424 P25398
Q9H0W5 Q9NRL2
Q96HE7 Q8TED1
Q9H410 Q96JM3
Q9HAZ2 P13010
P08173 Q9GZM5
O15446 O95625
Q96Q45 Q86WB7
P61313 Q14146
P49411 Q16540
Q9NRC8 P55786
O95994 Q13162
Q12905 Q9UPY3
Q9ULU4 Q9P0M6
O95600 Q9BUJ2
Q6UWN5 Q9UKR5
Q9NX05 O95793
O00487 Q9GZR7
P61073 Q92508
P15941 Q06432
P62888 Q9GZR7
Q9H1X3 Q15042
O95273 Q02363
Q7KZN9 O75947
Q9NQX0 P25791
Q9NWZ8 Q9P2G9
Q8N680 Q9UL40
P26373 O00566
O95786 Q70IA6
O60503 Q8N5K1
P01106 O75909
O94761 P09001
O15218 O75419
Q6ZN55 Q9Y3D3
Q8IWL3 O95139
O95125 Q14202
O96002 Q9NXE8
P52739 O95994
Q6ZN17 P57071
O95793 P56192
Q9NRM2 O15156
Q9P0S2 P00403
O15446 P35269
Q9Y3S2 P56270
P47929 O00592
Q9NRC8 Q6NZY4
P62750 O95793
Q9NWT8 Q9NX58
Q71U36 O60216
P01106 Q9P0U4
O75695 O00391
Q9Y3S2 Q96C00
Q16763 Q9H1A4
Q92785 P56270
P82912 Q8NC60
Q14507 Q9HAT2
Q96LL9 O95168
P46013 P47914
P62899 P61513
P01106 Q1KMD3
P40429 Q9NY93
P17568 P24863
P61081 P62263
P62750 P62851
P62805 P54132
Q8N6T7 P55769
Q9UIH9 Q9BYC9
Q15554 Q96JM3
Q9H112 Q8NBK3
Q9C0C9 Q9NVN3
Q96MX0 Q14973
Q9P0J7 Q8N1F7
Q6W5P4 Q86SG7
