Q12913 P46087
Q9UHQ9 P99999
Q9Y3U8 P62841
Q9Y5K3 Q9BTV4
Q9Y6G3 Q15070
Q8NBJ9 Q92485
Q9H7H0 Q13472
Q16719 P52788
P06396 Q5W111
Q5JVS0 Q96HS1
P50222 Q9Y2B9
Q9BXH1 Q16548
O43240 P02671
P11279 Q9H3Q1
Q08J23 O94888
P27695 O00567
Q8WTV1 Q9Y3C1
P00736 Q86SJ6
P00750 P05067
P10912 P23467
Q96PE5 Q9Y5L0
Q8WVC0 P62487
Q9Y676 P82664
P05067 P61353
Q96GX1 Q9Y679
P15260 Q9NPF0
P23280 Q8IWF2
O75607 Q9H329
Q8WUK0 P99999
Q9NQC7 P62244
Q9UBV8 Q8IVD9
P53708 Q9NQ84
Q7L2J0 O95210
Q9UHD9 Q9NQC7
O15355 Q96B23
P05067 P08138
P62829 P62241
P27695 Q08AM6
Q8TB96 P62241
P56199 P27658
P02746 O00462
P82663 O43422
Q96CF2 Q96PX8
P81605 O60678
Q9NTK5 Q9UNX3
P09326 Q13478
P20807 Q96HA8
P38646 Q8NBX0
O95985 Q12888
Q13261 P14784
Q8N268 Q5JSZ5
Q9ULY5 O15533
Q8WWZ8 Q9UKP4
Q9BXS9 O43808
Q96IY1 Q96DA0
P51511 P04070
Q6IN84 P62508
P12314 Q8N6Y1
P41235 Q7Z589
Q9NQ55 Q9BYD1
Q6UXB1 Q5HYA8
Q00325 Q9ULF5
Q9NZQ7 P24666
Q9BRN9 Q8NBZ7
O95460 P21941
Q8TCW7 Q9UJJ9
Q5SWW7 Q96PV6
Q13115 Q9Y5L0
Q96CM3 P56181
Q15125 P05067
Q9UKF2 P18084
Q7L5D6 Q96CS3
Q969W9 P01834
Q02878 Q13563
P08034 A2RU14
Q9HD43 Q7Z3U7
Q9Y399 Q15031
Q9BRK5 Q96J84
P46060 P26641
Q9H8J5 Q02818
Q01628 O14763
P17813 Q12805
Q6ZMB5 Q9Y619
O15499 Q6ZYL4
P58557 Q6P087
P16070 Q8N441
Q96AY3 Q96QK1
Q8NHX9 Q9NPF0
Q96CS3 Q9Y2J2
Q9Y3B7 Q9Y2Q9
Q86XT9 P17936
Q53F39 Q9UK28
P18077 Q96RU2
P00748 Q00587
O14561 Q9NVS2
O15519 Q92851
P15880 P82664
Q9UBX2 Q9Y3U8
Q30201 O95672
P55854 P53396
Q86VU5 Q6P5W5
Q4G0X4 Q8WYQ4
P10909 P62829
O95394 Q53H82
Q03431 Q8NBJ9
Q92540 Q96EY7
Q7L2J0 P11717
Q8ND56 Q92540
Q8N766 Q9UHQ9
P49458 Q6ZTQ4
P12830 P14209
P51884 Q9H0C8
P12644 P32969
Q9BXN1 P19823
Q92547 Q12888
Q96PQ1 Q9NRS4
Q9BXB1 Q6PCB7
O75319 Q9H9J2
P02746 Q12891
O76061 Q9H1D9
P30050 P46777
O15547 P02790
Q9Y4E8 Q9Y6C5
Q96PL2 P61803
Q07820 P61803
Q9Y2I6 Q9GZZ8
Q6P1J9 P07814
P27695 P40123
Q9NP94 Q5BVD1
Q9BQ13 Q4G176
Q13503 P10827
P59942 Q9Y376
Q6UXX5 O95231
P47224 Q02252
Q10713 Q9H3K2
Q9BUF7 Q9Y342
P11487 O75319
Q96DP5 Q9Y2R9
O95831 Q96CS3
Q96HA8 Q03393
Q92956 Q14703
P82673 P82933
P19388 P13984
